trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
453,10,10,0,3449.7911,13158.9555,129,22,1.178983,7,2,certificate
454,10,10,0,3491.0301,13585.1507,121,18,0.735166,7,2,certificate
455,15,15,0,3654.7062,14558.5309,112,26,0.891041,7,2,certificate
456,11,11,0,2850.8189,10359.0946,121,18,0.756623,7,2,certificate
457,13,13,0,3259.8914,12334.4571,122,24,0.913999,7,2,certificate
458,11,11,0,3639.3912,14116.9562,127,22,0.909294,7,2,certificate
459,16,16,0,3163.6925,12258.4625,106,26,1.327633,7,1,certificate
460,15,15,0,3529.0613,14185.3063,103,26,3.074949,7,2,certificate
461,14,14,0,3500.3352,14111.6762,102,24,0.684611,7,2,certificate
462,11,11,0,3755.0979,14400.4895,137,23,0.893420,7,3,certificate
463,13,13,0,3124.4707,11722.3533,120,23,0.853093,7,2,certificate
464,13,13,0,3483.2566,13661.2828,115,23,1.443727,7,2,certificate
465,16,16,0,3309.7120,12888.5602,109,26,0.976120,7,2,certificate
466,15,15,0,3200.6722,12678.3610,99,25,1.124904,7,2,certificate
467,15,15,0,3199.6472,12198.2361,115,22,0.589777,7,5,certificate
468,16,16,0,4028.4615,16577.3077,106,27,1.359549,7,2,certificate
469,14,14,0,3736.0243,14600.1214,125,26,1.020646,7,2,certificate
470,12,12,0,3314.2003,12801.0014,116,24,1.840352,7,2,certificate
471,16,16,0,3226.8450,12589.2251,106,24,0.670996,7,3,certificate
472,12,12,0,3965.0537,15850.2686,123,27,1.225928,7,1,certificate
473,10,10,0,2887.9936,10444.9681,125,19,0.851379,7,2,certificate
474,11,11,0,2966.4034,11027.0171,118,22,1.390301,7,2,certificate
475,14,14,0,3989.9639,15724.8195,130,26,1.037025,7,2,certificate
476,11,11,0,3284.2666,12621.3329,118,21,1.007215,7,2,certificate
477,11,11,0,3360.0673,13095.3365,115,21,0.774249,7,2,certificate
478,16,16,0,3511.8438,14174.2188,100,25,1.329454,7,2,certificate
479,11,11,0,3234.6386,12473.1930,115,18,0.923381,7,3,certificate
480,12,12,0,3328.3843,12491.9216,129,20,0.721183,7,4,certificate
481,15,15,0,3581.0705,14180.3525,112,28,1.362306,7,2,certificate
482,12,12,0,3271.3664,13011.8321,102,21,1.088425,7,2,certificate
483,15,15,0,4749.0727,19750.3633,121,30,1.186776,7,2,certificate
484,14,14,0,4040.9632,16389.8159,116,26,1.217571,7,2,certificate
485,12,12,0,3738.4230,14717.1149,123,21,0.660308,7,2,certificate
486,14,14,0,3520.0011,13875.0056,113,25,0.988811,7,2,certificate
487,10,10,0,3826.8678,15109.3388,126,24,0.981422,7,2,certificate
488,14,14,0,3713.0320,14560.1600,123,25,1.019358,7,2,certificate
489,15,15,0,4065.2491,16196.2456,126,27,1.320770,7,2,certificate
490,14,14,0,2897.7654,10423.8270,124,26,0.901730,7,2,certificate
491,16,16,0,3753.3451,15241.7256,105,24,2.006942,7,2,certificate
492,16,16,0,4057.8055,16404.0276,117,29,2.675554,7,2,certificate
493,11,11,0,3152.9586,11544.7930,132,22,1.073661,7,2,certificate
494,14,14,0,3269.4312,12852.1560,105,22,0.963045,7,2,certificate
495,10,10,0,2930.6528,10693.2640,124,20,0.988513,7,3,certificate
496,12,12,0,3013.8177,11249.0885,118,21,0.975838,7,2,certificate
497,11,11,0,3165.4797,11837.3987,125,21,1.006513,7,3,certificate
498,11,11,0,3364.4058,13137.0292,114,19,0.758221,7,2,certificate
499,16,16,0,3914.7875,16093.9374,103,24,0.650125,7,2,certificate
500,10,10,0,3089.2603,11511.3016,123,19,0.965879,7,2,certificate
501,12,12,0,3322.8344,12634.1719,123,22,0.895505,7,2,certificate
502,12,12,0,3862.2327,15406.1637,120,22,1.054291,7,2,certificate
503,14,14,0,3753.1128,14765.5638,122,24,0.852980,7,4,certificate
504,10,10,0,3192.3465,12216.7324,117,20,0.854350,7,2,certificate
505,11,11,0,3323.1310,12705.6552,122,22,1.202305,7,2,certificate
506,14,14,0,3918.2344,15866.1722,113,26,1.613781,7,1,certificate
507,11,11,0,3225.0687,12230.3433,121,25,1.533622,7,2,certificate
508,11,11,0,3534.3400,13986.6998,114,22,1.045553,7,2,certificate
509,15,15,0,3460.0477,13665.2386,109,22,1.257319,7,2,certificate
510,13,13,0,3875.7008,15243.5042,128,23,1.099058,7,2,certificate
511,10,10,0,2876.6687,10558.3437,119,18,0.864743,7,2,certificate
512,13,13,0,3274.6048,12558.0242,117,21,1.456530,7,2,certificate
513,12,12,0,3556.6918,13928.4590,119,22,0.919009,7,2,certificate
514,16,16,0,4082.5624,16327.8121,123,28,1.608015,7,2,certificate
515,11,11,0,3662.2339,14406.1696,122,23,1.321379,7,2,certificate
516,10,10,0,3072.7178,11463.5891,122,20,1.145722,7,2,certificate
517,14,14,0,4003.8998,15954.4991,124,24,0.976927,7,2,certificate
518,12,12,0,2928.7347,11028.6735,111,20,1.124851,7,4,certificate
519,12,12,0,3861.3413,15041.7067,132,23,1.188596,7,2,certificate
520,10,10,0,2907.9326,10729.6630,119,20,1.235351,7,2,certificate
521,10,10,0,2835.6209,10263.1046,122,18,1.570218,7,2,certificate
522,12,12,0,3144.9469,11469.7343,132,23,1.052773,7,2,certificate
523,15,15,0,4120.4290,16817.1449,114,27,1.025335,7,2,certificate
524,14,14,0,3456.5983,13182.9916,126,24,1.033605,7,2,certificate
525,10,10,0,3282.0974,12555.4871,121,19,1.010476,7,3,certificate
526,15,15,0,3904.8661,15589.3304,119,27,1.045960,7,2,certificate
527,12,12,0,3546.6433,13843.2167,120,22,1.113089,7,2,certificate
528,16,16,0,3533.1318,13885.6590,113,27,1.525345,7,2,certificate
529,11,11,0,3062.0711,11440.3554,120,20,1.079333,7,2,certificate
530,10,10,0,3279.8366,12744.1830,114,18,0.872776,7,2,certificate
531,12,12,0,3845.6671,15313.3354,121,22,1.256874,7,2,certificate
532,16,16,0,3522.1579,13625.7896,120,25,1.264779,7,2,certificate
533,12,12,0,3520.4008,13662.0042,122,25,1.309543,7,2,certificate
534,10,10,0,3086.5062,11622.5308,119,20,1.285532,7,2,certificate
535,14,14,0,3791.2233,14751.1164,129,26,1.225203,7,2,certificate
536,12,12,0,3520.4778,13442.3888,129,26,1.237974,7,2,certificate
537,12,12,0,4224.5565,17017.7824,127,24,1.133414,7,2,certificate
538,13,13,0,3459.6935,13538.4676,115,23,1.107742,7,2,certificate
539,13,13,0,3627.7313,13753.6565,137,28,1.733372,7,2,certificate
540,16,16,0,3932.5252,16212.6260,102,29,2.925599,7,2,certificate
541,14,14,0,3394.0970,12955.4848,122,23,0.971710,7,2,certificate
542,16,16,0,3845.8388,15074.1938,127,27,0.998475,7,2,certificate
543,16,16,0,2852.3088,10461.5438,114,24,1.134049,7,2,certificate
544,12,12,0,3158.5903,11827.9514,123,24,1.155560,7,2,certificate
545,12,12,0,3837.5944,15332.9720,119,27,2.724198,7,2,certificate
546,13,13,0,3451.1745,13515.8727,115,24,1.349303,7,2,certificate
547,14,14,0,3305.7519,12678.7597,117,26,2.039845,7,2,certificate
548,10,10,0,3191.7806,11798.9028,131,23,1.139759,7,2,certificate
549,12,12,0,3452.2969,13381.4845,120,26,1.422361,7,2,certificate
550,14,14,0,3683.2208,14136.1040,131,24,1.074447,7,2,certificate
551,16,16,0,3564.8229,13844.1147,120,28,0.999266,7,3,certificate
552,11,11,0,3043.5906,11477.9529,116,19,1.292237,7,2,certificate
553,12,12,0,3627.7967,14073.9837,126,27,1.326844,7,2,certificate
554,13,13,0,3961.4481,15967.2405,118,23,1.003620,7,2,certificate
555,13,13,0,3600.5607,14077.8037,121,24,1.239237,7,2,certificate
556,12,12,0,3286.1210,12310.6050,128,25,1.362237,7,2,certificate
557,16,16,0,4156.5077,16832.5387,119,31,1.902377,7,2,certificate
558,11,11,0,3199.1144,12280.5722,115,20,1.440678,7,2,certificate
559,10,10,0,2856.5858,10632.9288,114,19,0.940945,7,2,certificate
560,12,12,0,2777.0320,10220.1601,112,20,1.973850,7,2,certificate
561,16,16,0,4063.3878,16541.9391,113,26,2.189889,7,2,certificate
562,15,15,0,3704.9894,14924.9471,108,25,1.392679,7,2,certificate
563,11,11,0,3596.8942,13734.4711,133,23,1.653786,7,3,certificate
564,10,10,0,2934.2489,10761.2443,122,17,0.960075,7,2,certificate
565,12,12,0,2794.8431,10259.2153,114,21,1.301059,7,2,certificate
566,11,11,0,3274.7437,12203.7183,130,21,0.940396,7,2,certificate
567,14,14,0,4069.5454,16472.7270,118,24,1.164879,7,2,certificate
568,14,14,0,3399.7637,12978.8186,123,24,2.457985,7,2,certificate
569,14,14,0,3670.0230,14260.1150,125,23,1.427882,7,2,certificate
570,12,12,0,3343.6703,12663.3517,126,26,1.453827,7,3,certificate
571,16,16,0,3189.0048,12350.0242,107,28,1.322796,7,2,certificate
572,13,13,0,3267.3789,12131.8945,129,22,1.102300,7,2,certificate
573,11,11,0,3548.2335,13911.1675,119,21,0.947229,7,3,certificate
574,10,10,0,3389.0153,12840.0767,129,23,1.340427,7,2,certificate
