trial,n_sources,n_dir,cleared,dir_cleared,remaining,time_s,walk_m,measures,replans,steps,cover_visits,stop_reason,final_mean_mass,station_silent,probe_silent,wall_s,left
71,13,4,13,4,0,6678.98,23964.9,304,50,50,19,epsilon,0.00249,0,0,36.760,
72,10,4,10,4,0,6218.36,21406.8,315,44,44,19,epsilon,0.00256,1,0,23.616,
73,11,4,11,4,0,7467.69,26948.4,339,56,56,19,epsilon,0.00254,1,0,28.759,
74,13,7,13,7,0,7838.58,28017.9,363,74,74,19,epsilon,0.00252,0,0,57.117,
75,15,7,15,7,0,7173.91,25844.6,323,65,65,19,epsilon,0.00255,0,0,56.645,
76,15,10,15,10,0,6902.20,26031.0,271,38,38,19,epsilon,0.00250,0,0,11.863,
77,12,5,12,5,0,7024.92,25249.6,321,50,50,19,epsilon,0.00253,0,0,19.118,
78,14,5,14,5,0,6535.75,23038.7,311,53,53,19,epsilon,0.00252,0,0,17.035,
79,12,6,12,6,0,6649.69,22818.5,338,49,49,19,epsilon,0.00252,1,0,20.195,
80,13,4,13,4,0,7309.79,25094.0,372,64,64,19,epsilon,0.00247,0,0,56.427,
81,13,8,13,8,0,6237.08,22065.4,294,45,45,19,epsilon,0.00246,0,0,9.564,
82,16,13,16,13,0,6904.52,24707.6,315,66,66,17,certificate,0.00000,0,0,31.739,
83,11,5,11,5,0,6544.80,22979.0,316,43,43,19,epsilon,0.00254,0,0,9.885,
84,16,10,16,10,0,5861.21,20731.1,274,48,48,15,certificate,0.00000,0,0,20.580,
85,10,4,10,4,0,5860.54,19907.7,306,36,36,19,epsilon,0.00253,0,0,7.754,
86,16,9,16,9,0,6159.46,23472.3,233,49,49,13,certificate,0.00000,0,0,35.600,
87,13,5,13,5,0,7532.14,26880.7,351,74,74,19,epsilon,0.00249,0,0,57.253,
88,10,6,10,6,0,6021.17,21350.8,284,42,42,19,epsilon,0.00256,0,0,10.259,
89,13,4,13,4,0,6393.79,23189.0,282,44,44,19,epsilon,0.00251,0,0,16.129,
90,10,4,10,4,0,6004.57,20607.8,306,44,44,19,epsilon,0.00251,0,0,21.522,
91,16,8,16,8,0,5673.01,16740.1,374,59,59,9,certificate,0.00000,1,0,130.902,
92,15,4,15,4,0,6535.93,24059.6,276,61,61,19,epsilon,0.00256,0,0,21.944,
93,12,6,12,6,0,6074.18,21555.9,285,37,37,19,epsilon,0.00252,1,0,7.711,
94,14,8,14,8,0,7222.44,26622.2,310,74,74,19,epsilon,0.00252,0,0,59.878,
95,15,7,15,7,0,7343.22,26761.1,321,60,60,19,epsilon,0.00251,0,0,37.567,
96,12,5,12,5,0,7220.66,25683.3,341,69,69,19,epsilon,0.00243,1,0,92.299,
97,13,5,13,5,0,5865.62,20093.1,297,40,40,19,epsilon,0.00270,0,0,12.635,
