trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,cover_snaps,n_cover_moves,stop_reason
704,12,12,0,3114.5673,11832.8367,115,19,0.289627,7,2,7,6,certificate
705,11,11,0,3464.8107,13344.0535,124,19,0.327242,7,2,7,6,certificate
706,14,14,0,3350.2062,13071.0310,111,24,0.358779,7,2,7,6,certificate
707,12,12,0,3337.9188,12764.5940,121,21,0.311730,7,2,7,6,certificate
708,15,15,0,3331.1702,12380.8511,130,25,0.404020,7,2,7,6,certificate
709,16,16,0,3862.5708,15432.8540,117,25,0.340045,7,2,7,6,certificate
710,13,13,0,3346.6721,13013.3607,114,24,0.358752,7,2,7,6,certificate
711,11,11,0,2895.9551,10789.7756,114,18,0.281788,7,3,7,6,certificate
712,11,11,0,3044.9793,11324.8967,121,24,0.441867,7,2,7,6,certificate
713,11,11,0,3401.2091,13056.0453,123,19,0.317269,7,2,7,6,certificate
714,13,13,0,3389.2501,12451.2506,139,20,0.302445,7,2,7,6,certificate
715,12,12,0,3265.7284,12533.6421,117,22,0.299875,7,2,7,6,certificate
716,10,10,0,3129.6012,11798.0059,120,17,0.288750,7,3,7,6,certificate
717,15,15,0,3339.1750,12340.8751,133,22,0.281441,7,2,7,6,certificate
718,12,12,0,3597.3789,14126.8943,119,21,0.291040,7,2,7,6,certificate
719,10,10,0,3166.0143,11630.0717,131,22,0.392234,7,2,7,6,certificate
720,14,14,0,3769.5425,14552.7125,132,24,0.362122,7,2,7,6,certificate
721,11,11,0,3247.9605,12399.8026,119,21,0.380609,7,2,7,6,certificate
722,12,12,0,3605.1909,14170.9544,119,19,0.246137,7,3,7,6,certificate
723,13,13,0,3294.0862,12460.4309,123,21,0.414182,7,2,7,6,certificate
724,13,13,0,3229.9917,12024.9583,127,20,0.285527,7,2,7,6,certificate
725,15,15,0,3940.0476,15865.2380,116,25,0.413850,7,2,7,6,certificate
726,11,11,0,3769.9208,14714.6041,129,22,0.349143,7,2,7,6,certificate
727,12,12,0,3101.1612,11760.8058,115,19,0.268439,7,3,7,6,certificate
728,16,16,0,3962.4502,16157.2511,109,23,0.311185,7,2,6,5,certificate
729,13,13,0,3678.9253,14244.6267,128,24,0.307529,7,2,7,6,certificate
730,12,12,0,2985.4099,11287.0496,112,22,0.454191,7,2,7,6,certificate
731,13,13,0,2991.2673,11076.3365,119,23,0.328281,7,2,7,6,certificate
732,16,16,0,3777.9483,14814.7416,123,24,0.307197,7,2,7,6,certificate
733,10,10,0,3129.6377,11863.1883,118,18,0.261368,7,2,7,6,certificate
734,11,11,0,3266.0889,12460.4443,121,21,0.344893,7,3,7,6,certificate
735,10,10,0,3029.0974,11220.4871,123,20,0.334673,7,2,7,6,certificate
736,15,15,0,3768.7182,14998.5909,116,24,0.294306,7,2,7,6,certificate
737,14,14,0,3282.9569,12579.7845,117,25,0.331695,7,3,7,6,certificate
738,13,13,0,3815.8314,15229.1568,118,24,0.285579,7,2,7,6,certificate
739,16,16,0,3212.0732,12455.3662,107,24,0.208095,7,2,4,3,certificate
740,14,14,0,3428.7180,13468.5900,111,23,0.527183,7,2,7,6,certificate
741,11,11,0,2954.1365,10900.6823,120,19,0.300955,7,3,7,6,certificate
742,13,13,0,3419.8214,13239.1072,118,22,0.292658,7,2,7,6,certificate
743,12,12,0,3687.5436,14542.7178,120,23,0.338073,7,2,7,6,certificate
744,14,14,0,3305.8537,12664.2683,118,24,0.323007,7,2,7,6,certificate
745,16,16,0,3832.0249,15385.1243,113,27,0.383402,7,2,7,6,certificate
746,12,12,0,3323.2057,12396.0286,131,19,0.286140,7,2,7,6,certificate
747,10,10,0,3121.6844,11678.4219,123,18,0.335410,7,2,7,6,certificate
748,11,11,0,3215.2184,12421.0921,113,18,0.362422,7,2,7,6,certificate
749,14,14,0,3192.6103,11958.0514,122,25,0.298598,7,2,7,6,certificate
750,15,15,0,3240.7471,11968.7356,131,34,0.404348,7,2,7,6,certificate
751,12,12,0,2852.1385,10630.6926,112,20,0.361442,7,2,7,6,certificate
752,10,10,0,3312.2284,12511.1420,127,18,0.305934,7,2,7,6,certificate
753,14,14,0,3689.7600,14813.8002,110,24,0.338743,7,2,7,6,certificate
754,13,13,0,3912.5730,15617.8649,122,23,0.279490,7,2,7,6,certificate
