trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
546,13,13,0,3392.4953,13022.4765,121,23,0.656105,7,2,certificate
547,14,14,0,2988.8362,11004.1810,120,23,0.845854,7,2,certificate
548,10,10,0,3678.6509,14233.2546,130,21,0.910948,7,2,certificate
549,12,12,0,4059.3840,16616.9199,113,22,0.612027,7,2,certificate
550,14,14,0,3506.6794,13313.3972,130,25,0.660664,7,3,certificate
551,16,16,0,3599.9823,14014.9117,120,26,0.663245,7,3,certificate
552,11,11,0,2831.2084,10256.0420,121,20,0.862944,7,3,certificate
553,12,12,0,3544.9977,13844.9886,120,23,0.638780,7,2,certificate
554,13,13,0,3584.5269,14287.6346,111,26,1.202845,7,2,certificate
555,13,13,0,3829.3639,15111.8194,124,24,0.893024,7,2,certificate
556,12,12,0,3401.5146,13362.5731,112,21,0.892895,7,2,certificate
557,16,16,0,4546.0125,18710.0623,121,29,1.110146,7,2,certificate
558,11,11,0,3083.4749,11647.3744,117,19,0.765312,7,2,certificate
559,10,10,0,3494.6440,13633.2199,120,18,0.569155,7,3,certificate
560,12,12,0,2715.0684,10095.3422,106,20,1.017102,7,2,certificate
561,16,16,0,3700.0563,14665.2815,115,26,1.346134,7,2,certificate
562,15,15,0,3604.9096,14089.5481,119,25,1.467642,7,2,certificate
563,11,11,0,3452.3353,13026.6766,133,22,1.080791,7,2,certificate
564,10,10,0,3463.6909,13253.4546,128,18,0.743913,7,3,certificate
565,12,12,0,2791.8203,10224.1013,115,21,0.909608,7,2,certificate
566,11,11,0,3033.9867,11359.9335,118,23,0.815060,7,2,certificate
567,14,14,0,3991.2893,16121.4465,117,25,0.812906,7,2,certificate
568,14,14,0,3644.3957,14136.9785,125,27,1.217082,7,2,certificate
569,14,14,0,3730.7836,14633.9178,123,25,0.684896,7,2,certificate
570,12,12,0,3451.8574,13169.2871,127,25,0.922218,7,3,certificate
571,16,16,0,3674.7347,14498.6736,116,28,1.088571,7,2,certificate
572,13,13,0,3207.6703,12378.3514,112,24,1.361769,7,2,certificate
573,11,11,0,3571.4322,14027.1609,119,21,0.728000,7,3,certificate
574,10,10,0,3812.2812,15396.4059,114,20,0.964286,7,2,certificate
575,13,13,0,3711.6965,14298.4824,131,22,0.679783,7,3,certificate
576,10,10,0,3051.1129,11270.5647,125,18,0.649646,7,2,certificate
577,16,16,0,3461.6543,13243.2716,123,25,1.166514,7,2,certificate
578,14,14,0,3072.2151,11391.0755,121,21,0.631664,7,2,certificate
579,16,16,0,4667.2083,19151.0417,127,30,1.198256,7,3,certificate
580,16,16,0,3798.0994,15025.4972,120,28,0.974303,7,2,certificate
581,13,13,0,3016.7666,11163.8332,121,22,0.959860,7,3,certificate
582,13,13,0,3303.9115,12394.5576,127,27,0.835829,7,2,certificate
583,13,13,0,3269.2121,12611.0606,114,22,0.692284,7,2,certificate
584,14,14,0,4268.8979,17609.4895,113,24,0.527112,7,2,certificate
585,10,10,0,2863.4437,10562.2183,117,19,0.615627,7,2,certificate
586,16,16,0,3390.9847,13439.9233,104,23,0.563638,7,2,certificate
587,15,15,0,3836.5899,15007.9493,127,27,0.991250,7,2,certificate
588,16,16,0,3821.7353,15163.6767,118,31,1.073797,7,2,certificate
589,12,12,0,3876.0282,15370.1409,124,20,0.637988,7,2,certificate
590,12,12,0,3546.0170,13605.0849,128,22,0.610158,7,2,certificate
591,13,13,0,3713.3841,14031.9206,141,24,0.731754,7,2,certificate
592,13,13,0,3349.9517,13049.7587,113,20,0.579811,7,4,certificate
593,12,12,0,3446.3210,13311.6051,121,20,0.767238,7,2,certificate
594,11,11,0,3680.6383,14243.1916,130,22,0.765328,7,2,certificate
595,13,13,0,3287.4550,12792.2750,111,23,0.930847,7,2,certificate
596,14,14,0,3627.8631,14139.3155,122,25,1.170307,7,2,certificate
597,14,14,0,3352.7574,12783.7872,122,24,0.897339,7,2,certificate
598,11,11,0,3169.2986,11926.4929,122,20,0.879119,7,2,certificate
599,11,11,0,3483.2668,13226.3339,131,25,0.922724,7,3,certificate
600,13,13,0,3375.8466,13349.2332,107,20,0.804702,7,2,certificate
601,10,10,0,2900.6893,10628.4467,121,17,0.663918,7,2,certificate
602,15,15,0,4591.8861,19304.4307,110,24,1.082865,7,2,certificate
603,15,15,0,3250.0950,12350.4750,118,22,0.626309,7,2,certificate
604,14,14,0,3422.6996,13303.4980,116,22,0.744141,7,2,certificate
605,15,15,0,3566.9415,14154.7076,111,23,1.012031,7,2,certificate
606,13,13,0,4011.6412,16148.2060,120,23,0.696266,7,3,certificate
607,13,13,0,3202.5239,12002.6194,123,23,0.899638,7,2,certificate
