trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear
1478,11,11,0,3038.8256,10824.1279,137,20,1.534737,6,2
1479,15,15,0,3813.8396,14049.1979,155,25,4.289969,6,2
1480,10,10,0,3035.0745,10635.3726,144,22,1.612395,6,2
1481,12,12,0,3864.4800,13832.4000,173,23,0.922938,7,2
1482,12,12,0,3599.8068,13404.0342,144,22,2.754799,7,2
1483,14,14,0,3275.2120,11281.0598,158,25,1.285687,6,2
1484,10,10,0,3478.9248,12629.6242,151,21,2.235908,7,2
1485,16,16,0,3499.1028,12470.5138,155,29,0.982985,7,2
1486,10,10,0,3593.4108,13382.0539,145,24,0.779192,7,2
1487,12,12,0,3990.5418,14972.7092,157,26,4.018324,7,2
1488,16,16,0,4262.6872,15943.4360,167,32,1.264711,7,2
1489,12,12,0,3941.3301,14741.6507,156,30,1.281412,7,2
1490,14,14,0,3925.6298,14208.1492,170,29,3.033534,7,2
1491,12,12,0,3595.7727,13608.8636,136,23,1.727564,7,2
1492,10,10,0,3089.6067,11318.0337,131,25,1.122735,6,2
1493,11,11,0,2989.1170,10275.5848,147,22,1.176079,7,2
1494,12,12,0,4072.0898,15870.4489,141,27,1.607960,7,3
1495,14,14,0,3791.9782,13769.8912,162,29,0.773934,7,2
1496,16,16,0,4656.6576,17938.2880,165,33,3.585760,7,2
1497,10,10,0,2965.7265,10328.6324,142,23,0.842968,6,2
1498,14,14,0,3977.3925,14651.9624,163,30,2.513851,7,2
1499,12,12,0,3427.7999,12298.9993,152,23,0.731910,7,2
1500,10,10,0,3219.6938,11293.4688,152,24,0.825669,6,2
1501,14,14,0,4329.6837,16338.4184,166,35,5.713629,7,2
1502,14,14,0,3925.7661,14308.8305,166,31,1.781375,7,2
1503,10,10,0,3078.9558,10624.7788,151,21,0.550582,7,2
1504,16,16,0,5058.9473,20234.7366,157,38,2.780418,7,2
1505,10,10,0,3393.9631,12469.8156,143,22,1.418395,7,2
1506,15,15,0,3771.1510,13835.7550,155,31,1.479753,7,2
1507,14,14,0,3882.9517,14124.7586,165,31,2.811732,7,2
1508,10,10,0,3335.4452,12307.2258,138,21,1.574932,7,2
1509,10,10,0,4170.1342,16025.6710,153,25,0.920628,7,2
1510,10,10,0,3619.2495,12826.2477,168,23,1.082344,7,2
1511,13,13,0,3632.5155,13287.5774,152,23,1.091451,7,2
1512,12,12,0,4593.6265,18268.1325,147,27,1.029933,7,3
1513,10,10,0,3408.6612,12268.3060,151,26,0.914982,7,2
1514,15,15,0,4380.0260,16600.1301,164,31,4.509176,7,2
1515,16,16,0,3974.9063,14609.5314,163,32,3.087353,7,2
1516,14,14,0,3487.5198,12722.5990,146,27,2.079847,6,2
1517,13,13,0,4718.5964,18552.9818,157,28,1.101646,7,2
1518,12,12,0,3310.5970,11787.9848,149,24,0.748266,7,2
1519,12,12,0,3866.2165,15156.0823,130,23,2.324859,7,2
1520,11,11,0,3548.2664,13036.3322,148,20,0.575561,7,2
1521,15,15,0,4104.4229,14227.1147,198,36,1.231151,7,2
1522,10,10,0,3455.5927,12632.9635,147,22,0.877113,7,3
1523,11,11,0,3463.7107,12673.5536,146,23,0.811199,7,2
1524,15,15,0,3518.6933,12883.4663,145,27,0.926757,6,2
1525,11,11,0,4020.3913,15121.9563,157,24,1.210878,7,2
1526,13,13,0,3878.2047,14706.0237,147,29,2.479582,7,2
1527,14,14,0,3470.4211,12932.1057,137,26,1.303938,6,2
1528,15,15,0,3186.2879,11851.4397,124,26,2.876513,7,2
1529,15,15,0,3820.7565,13793.7824,165,31,2.157433,7,2
1530,10,10,0,2669.0951,9590.4756,117,18,1.242349,5,2
1531,10,10,0,3315.4758,12262.3788,136,22,0.830507,6,2
1532,10,10,0,3036.4590,11107.2951,128,20,0.734654,5,2
1533,16,16,0,4879.3297,18726.6484,176,32,3.880216,7,2
1534,14,14,0,4217.9531,15864.7657,163,28,1.035904,7,2
1535,10,10,0,4584.8732,18424.3660,143,28,0.857853,7,3
1536,12,12,0,3213.4616,11252.3080,151,23,0.979026,6,2
1537,14,14,0,4350.0115,16915.0574,150,27,1.182919,7,2
1538,15,15,0,4741.2914,18426.4570,165,31,2.078290,7,2
1539,10,10,0,3779.8508,14544.2538,137,23,1.756893,7,2
1540,10,10,0,3447.4596,12407.2982,154,27,1.182492,7,2
1541,13,13,0,3533.0510,12700.2548,156,27,2.862779,7,2
1542,14,14,0,3734.5925,13712.9624,154,27,2.492645,7,2
1543,16,16,0,3613.0531,13410.2653,143,31,3.668502,7,2
1544,12,12,0,3527.5514,13637.7572,124,24,3.128276,6,2
1545,10,10,0,2900.7769,10933.8843,111,18,2.703541,6,2
1546,11,11,0,2952.5696,10802.8479,123,19,0.888960,5,2
1547,11,11,0,4027.7657,15348.8284,151,23,0.804299,7,2
1548,11,11,0,4087.7709,16113.8546,136,21,0.448660,7,3
1549,10,10,0,3665.1124,14185.5619,130,24,0.795321,5,2
1550,14,14,0,4264.7477,16423.7387,154,34,2.568856,7,2
1551,16,16,0,3984.6679,15008.3394,151,28,1.636243,7,2
1552,13,13,0,3738.0591,14390.2953,133,27,1.716568,7,2
1553,10,10,0,3763.4472,14262.2358,144,22,0.732427,7,2
1554,16,16,0,3837.4476,14332.2382,149,25,2.871051,7,2
